user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter,ds_per_mask_poly
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39420224413028_low_1856_annots_structured_sam2,39420224413028,1856,sam2,False,2158,0,166,0,1,0,120,0,287,0,3,0,1,0,113,0,117,113,3,1,18.444444444444443,4_39420224413028,sam2_2,sam2_2_39420224413028,39420224413028_1856,1712.0,446.0,,,15.150442,148.66667,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,1554,154,0,0,0,0,0,0,154,124,0,0,0,0,0,0,124,0,124,0,12.53225806451613,4_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,1554.0,,,,12.532258,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39420224413028_low_1920_annots_structured_sam2,39420224413028,1920,sam2,True,3628,0,180,0,6,1,0,0,187,0,118,0,6,1,0,0,125,0,118,6,29.024,4_39420224413028,sam2_1,sam2_1_39420224413028,39420224413028_1920,,2133.0,1495.0,,,18.076271,249.16667,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39420224413028_low_1920_annots_structured_sam2_indicated_annots_polygon,39420224413028,1920,polygon,True,569,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,189.66666666666666,4_39420224413028,polygon_1,polygon_1_39420224413028,39420224413028_1920,,,,,,,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223493024_low_192_annots_structured_sam1,39320223493024,192,sam1,False,2475,120,0,4,0,1,0,77,202,51,0,4,0,1,0,42,98,42,51,4,25.255102040816325,5_39320223493024,sam1_2,sam1_2_39320223493024,39320223493024_192,1365.0,534.0,576.0,,32.5,10.470589,144.0,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,687,0,129,0,0,0,94,0,223,0,3,0,0,0,94,0,97,94,3,0,7.082474226804123,5_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,673.0,14.0,,,7.1595745,4.6666665,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,2212,123,0,7,0,2,0,0,132,93,0,6,0,2,0,0,101,0,93,6,21.900990099009903,5_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,1184.0,682.0,,,12.731183,113.666664,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,4229,0,135,0,6,5,0,0,146,0,88,0,6,5,0,0,99,0,88,6,42.717171717171716,5_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,1440.0,539.0,2250,,16.363636,89.833336,450.0
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223493024_low_256_indicated_annots_polygon,39320223493024,256,polygon,True,344,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,0,0,0,114.66666666666667,5_39320223493024,polygon_1,polygon_1_39320223493024,39320223493024_256,,,,,,,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2688_annots_structured_sam1,39320223525022,2688,sam1,False,2740,97,0,5,0,2,0,70,174,35,0,4,0,1,0,33,73,33,35,4,37.534246575342465,5_39320223525022,sam1_2,sam1_2_39320223525022,39320223525022_2688,1017.0,581.0,1142.0,,30.818182,16.6,285.5,
