points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,f_beta
32,128,0.72,0.92,1.0,0.7,1,0.7,1,0.9713431360828848,0.40266147304894,264.7,109.6,106.7,158.0,2.9,0.9570614695549011,0.028303594514727547,0.754912570601509
32,128,0.72,0.92,1.0,0.7,1,0.7,2,0.96299880125837,0.4603909067399011,228.7,109.6,105.7,123.0,3.9,0.9576104819774628,0.02816452551633114,0.7876537207366765
32,128,0.72,0.92,1.0,0.7,1,0.7,4,0.9421246959878241,0.5010198444448748,204.6,109.6,103.1,101.5,6.5,0.961063152551651,0.0267855210229754,0.7988518417142204
32,128,0.72,0.92,1.0,0.7,2,0.7,1,0.9638486574201195,0.3460524622920197,305.7,109.6,105.8,199.9,3.8,0.95601025223732,0.0294393183663487,0.7074802178307686
32,128,0.72,0.92,1.0,0.7,2,0.7,2,0.9583449395809586,0.42866578138144157,244.7,109.6,105.1,139.6,4.5,0.9567041099071503,0.028995834849774783,0.765441093848242
32,128,0.72,0.92,1.0,0.7,2,0.7,4,0.9472541191610558,0.49478732824189137,208.5,109.6,103.7,104.8,5.9,0.9604212284088135,0.027002015896141502,0.7986322809633021
32,128,0.72,0.92,1.3,0.7,0,0.7,1,0.92859206573939,0.6213360902808751,162.3,109.6,101.4,60.9,8.2,0.9646102011203765,0.02462185546755786,0.8428683105022012
32,128,0.72,0.92,1.3,0.7,0,0.7,2,0.92859206573939,0.6213360902808751,162.3,109.6,101.4,60.9,8.2,0.9646102011203765,0.02462185546755786,0.8428683105022012
32,128,0.72,0.92,1.3,0.7,0,0.7,4,0.92859206573939,0.6213360902808751,162.3,109.6,101.4,60.9,8.2,0.9646102011203765,0.02462185546755786,0.8428683105022012
32,128,0.72,0.92,1.3,0.7,1,0.7,1,0.9706078419652376,0.45066705392077544,236.1,109.6,106.6,129.5,3.0,0.9570033133029938,0.028480732999741992,0.7862408691032449
32,128,0.72,0.92,1.3,0.7,1,0.7,2,0.9616310341785287,0.5131654496322067,204.7,109.6,105.5,99.2,4.1,0.9577056646347046,0.02804465554654593,0.8158807183062331
32,128,0.72,0.92,1.3,0.7,1,0.7,4,0.9389797347666814,0.5624522136803966,181.5,109.6,102.7,78.8,6.9,0.9612688899040223,0.02644477616995567,0.8260517980025046
32,128,0.72,0.92,1.3,0.7,2,0.7,1,0.9631133633024724,0.38891610594152015,271.6,109.6,105.7,165.9,3.9,0.9560659229755402,0.029357066005468307,0.740984856188468
32,128,0.72,0.92,1.3,0.7,2,0.7,2,0.9569771725011172,0.47649162234950027,219.7,109.6,104.9,114.8,4.7,0.9567683577537537,0.028974108770489636,0.7934567805886811
32,128,0.72,0.92,1.3,0.7,2,0.7,4,0.9441091579399133,0.5546210282098575,185.3,109.6,103.3,82.0,6.3,0.9606220960617066,0.0266963148489594,0.8258444284453299
32,128,0.72,0.95,0.7,0.7,0,0.7,1,0.931669234528633,0.578319021584077,174.9,109.6,101.8,73.1,7.8,0.964439046382904,0.02495831213891502,0.8279403195498825
32,128,0.72,0.95,0.7,0.7,0,0.7,2,0.931669234528633,0.578319021584077,174.9,109.6,101.8,73.1,7.8,0.964439046382904,0.02495831213891502,0.8279403195498825
32,128,0.72,0.95,0.7,0.7,0,0.7,4,0.931669234528633,0.578319021584077,174.9,109.6,101.8,73.1,7.8,0.964439046382904,0.02495831213891502,0.8279403195498825
32,128,0.72,0.95,0.7,0.7,1,0.7,1,0.9713431360828848,0.4178250872588939,254.8,109.6,106.7,148.1,2.9,0.9570614695549011,0.028303594514727547,0.7653795288973931
32,128,0.72,0.95,0.7,0.7,1,0.7,2,0.96299880125837,0.4774190257119725,220.4,109.6,105.7,114.7,3.9,0.9576822638511657,0.028014219552278462,0.7977023602874904
32,128,0.72,0.95,0.7,0.7,1,0.7,4,0.9413050238566765,0.5239799150912268,195.4,109.6,103.0,92.4,6.6,0.961145532131195,0.02669249586760992,0.8099005375814535
