points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,f_beta
32,128,0.72,0.92,1.0,0.7,0,0.7,2,0.33989213493969395,0.755528775245683,46.4,109.6,35.7,10.7,73.9,0.8967213153839111,0.03160586096346374,0.37395534329513314
32,128,0.72,0.92,1.0,0.7,0,0.7,4,0.33989213493969395,0.755528775245683,46.4,109.6,35.7,10.7,73.9,0.8967213153839111,0.03160586096346374,0.37395534329513314
32,128,0.72,0.92,1.0,0.7,1,0.7,1,0.5221327091235893,0.7809143009655866,73.1,109.6,57.1,16.0,52.5,0.9128587007522583,0.03405650295317169,0.5519343782509218
32,128,0.72,0.92,1.0,0.7,1,0.7,2,0.4709395315588846,0.7961281305452584,63.7,109.6,50.9,12.8,58.7,0.912872439622879,0.03223316352814433,0.5054981335349769
32,128,0.72,0.92,1.0,0.7,1,0.7,4,0.3902631865891913,0.7759195193444683,53.7,109.6,41.8,11.9,67.8,0.9064865231513977,0.03450883105397219,0.4264986335605741
32,128,0.72,0.92,1.0,0.7,2,0.7,1,0.5234799339350419,0.7521530554051392,76.6,109.6,57.3,19.3,52.3,0.9135437250137329,0.03406855668872589,0.5496619774286422
32,128,0.72,0.92,1.0,0.7,2,0.7,2,0.47396112935618556,0.7836502346945472,65.3,109.6,51.3,14.0,58.3,0.9136265456676483,0.03132345788180823,0.5076284405839918
32,128,0.72,0.92,1.0,0.7,2,0.7,4,0.3930681528379859,0.7771854596537022,54.0,109.6,42.1,11.9,67.5,0.906560093164444,0.03445328008383508,0.42940835717536513
32,128,0.72,0.92,1.3,0.7,0,0.7,1,0.13496634087781695,0.7471478521478522,17.0,109.6,14.1,2.9,95.5,0.9103725817468431,0.030521953245624837,0.15914917984199567
32,128,0.72,0.92,1.3,0.7,0,0.7,2,0.13496634087781695,0.7471478521478522,17.0,109.6,14.1,2.9,95.5,0.9103725817468431,0.030521953245624837,0.15914917984199567
32,128,0.72,0.92,1.3,0.7,0,0.7,4,0.13496634087781695,0.7471478521478522,17.0,109.6,14.1,2.9,95.5,0.9103725817468431,0.030521953245624837,0.15914917984199567
32,128,0.72,0.92,1.3,0.7,1,0.7,1,0.2500840388355668,0.8167875059722884,32.9,109.6,27.5,5.4,82.1,0.9220094323158264,0.028769127745181276,0.28606124870586325
32,128,0.72,0.92,1.3,0.7,1,0.7,2,0.20888141869429236,0.8365774764344641,26.3,109.6,22.7,3.6,86.9,0.9237909078598022,0.0280267216265201,0.24184130178545787
32,128,0.72,0.92,1.3,0.7,1,0.7,4,0.17076776849477943,0.8177915516403743,21.6,109.6,18.2,3.4,91.4,0.9189402043819428,0.02899406095966691,0.19999134985301315
32,128,0.72,0.92,1.3,0.7,2,0.7,1,0.2508193329532139,0.7880704258530346,34.2,109.6,27.6,6.6,82.0,0.9226361572742462,0.029061564337462143,0.28608829335259867
32,128,0.72,0.92,1.3,0.7,2,0.7,2,0.2080339610671737,0.8118786460251073,26.7,109.6,22.6,4.1,87.0,0.9242509603500366,0.02788773179054254,0.24080068328780416
32,128,0.72,0.92,1.3,0.7,2,0.7,4,0.17158744062592696,0.8225534564022791,21.7,109.6,18.3,3.4,91.3,0.9183851718902588,0.02912622475996608,0.2009932718832767
32,128,0.72,0.95,0.7,0.7,0,0.7,1,0.25214634253366197,0.7746614304702539,33.4,109.6,26.6,6.8,83.0,0.9026624023914337,0.02943620942533014,0.28645437099937665
32,128,0.72,0.95,0.7,0.7,0,0.7,2,0.25214634253366197,0.7746614304702539,33.4,109.6,26.6,6.8,83.0,0.9026624023914337,0.02943620942533014,0.28645437099937665
32,128,0.72,0.95,0.7,0.7,0,0.7,4,0.25214634253366197,0.7746614304702539,33.4,109.6,26.6,6.8,83.0,0.9026624023914337,0.02943620942533014,0.28645437099937665
32,128,0.72,0.95,0.7,0.7,1,0.7,1,0.4167428603869604,0.8133592522022809,56.8,109.6,45.8,11.0,63.8,0.9183621644973755,0.03030234351754183,0.4547852840906996
32,128,0.72,0.95,0.7,0.7,1,0.7,2,0.36640584668784254,0.8398999118769185,47.7,109.6,39.9,7.8,69.7,0.9171416342258454,0.03210410270839925,0.40704511788775266
32,128,0.72,0.95,0.7,0.7,1,0.7,4,0.2940871596541418,0.8042509252296421,39.2,109.6,31.5,7.7,78.1,0.9125650525093079,0.031238778121769378,0.33186886446569247
