Dice per mask,Gdice per mask,IoU per mask,Mask N,Sam generation,Weights path,Dataset
0.9812016487121582,0.9626184105873108,0.963758111000061,64,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9795675277709961,0.959335207939148,0.9607319831848145,65,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9744325876235962,0.9492131471633911,0.9513363838195801,66,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9746519327163696,0.9502399563789368,0.951706051826477,67,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9545946717262268,0.9097434878349304,0.9167076945304871,68,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9631944894790649,0.9268572330474854,0.9314039945602417,69,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9677914977073669,0.9358386993408203,0.9394668340682983,70,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9708920121192932,0.9419384598731995,0.9449785947799683,71,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9840542078018188,0.9683948755264282,0.969085156917572,72,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9865255355834961,0.9734359383583069,0.9737482070922852,73,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9801737666130066,0.9605202674865723,0.9618536233901978,74,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9595704078674316,0.9194856882095337,0.9251654744148254,75,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.967651903629303,0.9357923865318298,0.939207911491394,76,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9703550338745117,0.9411033391952515,0.9440070390701294,77,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9720083475112915,0.9446589946746826,0.9469524025917053,78,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9725201725959778,0.9456958770751953,0.9478713870048523,79,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9843107461929321,0.9689534306526184,0.9695663452148438,80,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.971082329750061,0.9428931474685669,0.9452889561653137,81,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9422526359558105,0.8848620653152466,0.8964313268661499,82,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9773669242858887,0.9552992582321167,0.9566711783409119,83,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9687542915344238,0.9376766085624695,0.9411747455596924,84,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9814766645431519,0.9634718894958496,0.9642590284347534,85,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9737927913665771,0.9479697346687317,0.9501782655715942,86,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.979422926902771,0.9592537879943848,0.9604567289352417,87,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9836245775222778,0.9678745269775391,0.9682684540748596,88,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9604994058609009,0.9213814735412598,0.9267571568489075,89,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9670548439025879,0.9344791769981384,0.9381618499755859,90,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9760572910308838,0.9523523449897766,0.9542925953865051,91,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9839259386062622,0.9681567549705505,0.968843936920166,92,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9851583242416382,0.9709348082542419,0.9711551666259766,93,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9719259738922119,0.9442020058631897,0.9468196630477905,94,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.964037299156189,0.9287205934524536,0.9328615665435791,95,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9786213636398315,0.957456648349762,0.9589877128601074,96,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9769173860549927,0.9542329907417297,0.9558553099632263,97,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9749749898910522,0.9502535462379456,0.9523218870162964,98,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9770994186401367,0.9546521902084351,0.9561859965324402,99,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.912319540977478,0.8257083296775818,0.8506776690483093,0,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9684393405914307,0.9370509386062622,0.9406167268753052,1,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9881291389465332,0.9764556288719177,0.9768044948577881,2,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9751219153404236,0.9506927728652954,0.9525822401046753,3,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9666517972946167,0.9338892698287964,0.9374405145645142,4,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9581633806228638,0.9165907502174377,0.92276930809021,5,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.973662257194519,0.9474133253097534,0.9499560594558716,6,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9522800445556641,0.9056927561759949,0.9127874970436096,7,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9770826101303101,0.9545193910598755,0.9561593532562256,8,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9762836694717407,0.9530700445175171,0.9546941518783569,9,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9629329442977905,0.9266011714935303,0.9309364557266235,10,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9764935970306396,0.9532683491706848,0.9550861716270447,11,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9700161218643188,0.9405191540718079,0.9433989524841309,12,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9802889823913574,0.9609453678131104,0.9620596170425415,13,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9693936109542847,0.9394428133964539,0.9422833919525146,14,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9864881038665771,0.9732537269592285,0.9736801385879517,15,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9790197014808655,0.9582585096359253,0.9597207307815552,16,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9696224331855774,0.9399588704109192,0.9426866769790649,17,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9779902100563049,0.956498384475708,0.9578155279159546,18,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9764512777328491,0.9534084796905518,0.9549993872642517,19,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
